,sno,state,City,Place,Best_time_to_visit,Distance,Place_desc
273,274,Rajasthan,Udaipur, 19. Take a Ride of Mansapurna Karni Ropeway ,October-March, 1 km  from city center ," The Mansapurna Karni Mata Temple, built by Maharana Karan Singh and located atop the Machhala Magar hilltop, was quite a remote shrine for the general public to access. For this reason, it was not a much-visited temple previously. But in 2008, the ropeway line connecting the plain and the temple at the peak of the hill was commenced to make it easier for the public to reach the holy shrine and seek blessings of Goddess Karni. There is a staircase leading up to the temple now as well, which can be accessed from Maniklal Verma Park, but that route takes more than 15 minutes and is quite taxing and tiring a process. 
 "
274,275,Rajasthan,Udaipur, 20. Doodh Talai Musical Garden ,October-March, 1 km  from city center ," Doodh Talai Musical garden is a rock and fountain garden which is a great place to enjoy the sunset and one can see the wide expanse of the city. Also, there is an Areal tramway (cable car) connecting a garden of Doodh Talai and the Karni mata Temple. "
275,276,Rajasthan,Udaipur, 21. Apparel shopping in Hathi Pol Bazar ,October-March, 2 km  from city center ," Hathi Pol Bazar is a perfect attraction for shopaholics. One can find a variety of branded and local items including intricately embroidered and colourful block-printed apparel, ethnic silver jewellery, accessories, traditional home decor items, textiles, etc. Hathi Pol Bazar is famous for Miniature paintings, Ichhwai Paintings and hand paintings on silk. "
276,277,Rajasthan,Udaipur, 22. Neemach Mata Temple ,October-March, 5 km  from city center ," Perched atop the lush green Dewali hill, on the banks of the Fateh Sagar Lake in Udaipur, Neemach Mata Temple is enshrined by the Neemach Mata Devi (also known as Ambaji). Greatly revered by the Hindu pilgrims and devotees, the central deity is believed to be the house goddess of the royal family of the Maharanas in the city.  "
277,278,Rajasthan,Udaipur, 23. Wax Museum Udaipur ,October-March, 3 km  from city center ," One of the most well-known tourist attractions in Udaipur, Rajasthan, the Wax Museum is situated on the Sahelion ki Bari Road. It is visited by locals and foreigners alike for its numerous wax statues of celebrities as well as other fun facilities like a Mirror Maze, a Horror House as well as a 9D Cinema. "
278,279,Rajasthan,Udaipur, 24. Crystal gallery ,October-March, 1 km  from city center ," Crystal gallery has a stunning collection of crystal artefacts and is the largest collection of crystal in the world. The gallery is located inside the Fateh Prakash Palace and was established by Maharana Sajjan Singh in 1877. He had ordered the crystal artefacts from Birmingham in 1877. However, by the time they were delivered, Maharana has passed away. 110 years later, in 1994, the artefacts were displayed in the gallery which has been open to the public ever since. "
279,280,Rajasthan,Udaipur, 25. Menar ,October-March, 39 km  from city center ," An absolute treat for nature lovers, Menar Village about 45km away from Udaipur, Rajasthan basically comprises a lake and bird sanctuary. This picturesque attraction is usually not very crowded and is the perfect location to witness a variety of migratory birds and to engage in nature photography. "
280,281,Rajasthan,Udaipur, 26. Maharana Pratap Smarak ,October-March, 46 km  from city center ," Overlooks the charming Fateh Sagar Lake, Maharana Pratap Memorial comprises of a marvelous bronze statue Maharana Pratap sitting on his faithful horse Chetak. Many people come here to pay their homage to the Rajput Hero, Maharana Pratap and his loyal horse. "
281,282,Rajasthan,Udaipur, 27. Art Shopping in Bada Bazar ,October-March, 1 km  from city center ," Coming to visit Udaipur is almost synonymous with shopping at the many markets that the city has to offer. Flaunting and selling some of the city and the state of Rajasthan’s best kinds of stuff is the Bada Bazar, located within a kilometre of the City Palace of Udaipur. 
 "
282,283,Rajasthan,Udaipur, 28. Rajiv Gandhi Park ,October-March, 4 km  from city center ," One of the biggest gardens in the city, the Rajiv Gandhi Park is situated close to the Fateh Sagar Lake in the Malla Talai area of Udaipur, Rajasthan. It is quite similar to the Brindavan Garden in Mysore and has wonderful views, lush greenery as well as numerous statues and more. "
283,284,Rajasthan,Udaipur, 29. Nehru Garden ,October-March, 4 km  from city center ," Constructed in an Island at the heart of Fateh Sagar Lake, Nehru Garden encloses many distinct water fountains resembling those in Brindavan Gardens of Mysore. Another major attraction of the garden is a floating restaurant, in a boat shape. "
284,285,Rajasthan,Udaipur, 30. Sahastrabahu Temple ,October-March, 18 km  from city center ," The Sahastra Bahu Temple, often known as the Sas Bahu Temple, is essentially a cluster of 10th century temples and shrines in Nagda about 20 km from Udaipur. Set amidst beautiful landscape, it is known for its splendid architecture.  "
285,286,Rajasthan,Udaipur, 31. Sajjangarh Biological Park ,October-March, 5 km  from city center ," The Sajjangarh Biological Park about 4km from Udaipur, Rajasthan is situated on the foothills of the Sajjangarh Palace which is also known as the Monsoon Palace. It is a zoological garden known to house over 21 species of animals and birds including leopards, lions, marsh crocodiles, blackbucks, ostriches etc "
286,287,Rajasthan,Udaipur, 32. Manik Lal Verma Park ,October-March, 1 km  from city center ," Manik Lal Verma Park is a public park that is located atop a hill called Machla Magra close to Doodh Talai in Udaipur,. A beautiful space dedicated to the former Prime Minister of Rajasthan Manikya Lal Verma, it is primarily visited for its stunning views of the Talai and of Lake Pichola, its greenery and also for its serenity.  "
287,288,Rajasthan,Udaipur, 33. Food in Udaipur ,October-March, 33 out of 42  places to visit in Udaipur ," When in the lake city, visiting the cafes along the lakes and trying the delicious food is one of the topmost things to do in Udaipur. Although the signature dish is the very famous laal maas made out of mutton in traditional Rajasthan flavours, you can also taste some of the very sumptuous dabeli, daal baati churma, lentils, Bikaneri bhurji etc. "
288,289,Rajasthan,Udaipur, 34. Pratap Park ,October-March, 3 km  from city center ," Located on the southern boundaries of Lake Pichola in Udaipur, Rajasthan, Pratap Park is a relatively new park named after Late Shri Pratap Bhandari. It is known for its massive ‘I Love Udaipur’ sign with Lake Pichola as the backdrop.  "
289,290,Rajasthan,Udaipur, 35. Trekking in Udaipur ,October-March, 35 out of 42  places to visit in Udaipur ," Popularly called as the “Venice of the East” for its ethereal lakes and enchanting surroundings, Udaipur not only is perfect for sightseeing but also adventure sports. Trekking is one of the top tourist activities to enjoy while on a trip to the “City of Lakes”. With the backdrop of the majestic Aravalli range, there are several trekking trails in the region ranging from easy to moderate and tough, ideal for both amateurs and professionals. While enjoying the gorgeous scenic view, the trails also lead you through tiny villages where you can interact with the locals and take a peek into their lifestyle. "
290,291,Rajasthan,Udaipur, 36. Taj Lake Palace ,October-March, 1 km  from city center ," Built in 1746 by Maharana Jagat Singh II, Taj Lake Palace is possibly one of the most romantic structures of Udaipur. The palace was used as a recreation spot and pleasurable residence of the king. Boasting of 66 rooms, the grand palace has been converted into a heritage hotel and hosts tourists from all over the world. "
291,292,Rajasthan,Udaipur, 37. Bada Mahal ,October-March, 0 km  from city center ," Dating back to 17th century, Bada Mahal is an incredible structural marvel. Constructed in Rajput-Mughal architectural style, the Mahal is considered as the Men''s section of the City Palace. "
292,293,Rajasthan,Udaipur, 38. Haldighaati ,October-March, 35 km  from city center ," This is a historic site located 40km from the Udaipur city and is famous for the battle between the Mughals and the Rajputs led by Maharana Pratap. There is a cenotaph with thin, delicate marble columns dedicated to Rana Pratap's horse. "
293,294,Rajasthan,Udaipur, 39. Marvel Water Park ,October-March, 4 km  from city center ," Marvel Water Park is the oldest and largest of its kind in the city. The water park is the most popular weekend hangout place among families, friends and couples. It has a number of water and regular rides, a food court to tend to your hunger pangs, changing rooms, lockers etc. "
294,295,Rajasthan,Udaipur, 40. Badi Lake ,October-March, 15 km  from city center ," Situated a little on the outskirts of the city, Badi Lake is an artificial freshwater lake situated in Udaipur. Built by Maharaja Raj Singh between 1652 and 1680, Badi Lake sprawls over a humongous area of 155 sq. km. Ideal as a popular picnic spot, Badi Lake also boasts of utter peace and tranquility as it is devoid of the regular tourist crowd. The lake is also ideal for a swim and there are several kiosks (shamiyanas) installed along the embankments which are meant for people to sit down and relax. "
